year,state,Black,Other,White,Female,Male,0 years,1-4 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,5-9 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85+ years
1971-01-01,CO,71809,27042,2204757,1163401,1140207,41730,151903,240290,229133,227874,173720,144905,130222,130228,127431,219963,114071,96948,81899,64789,50474,37571,24281,16176
1971-01-01,CT,186431,12493,2862531,1576314,1485141,49684,196683,308903,273732,244974,207666,174831,165797,183971,194806,285591,187859,161696,130693,99956,78060,58104,36153,22296
1971-01-01,DC,532229,7600,210812,401659,348982,12158,44418,63611,66118,81591,64578,48901,41378,41614,42260,61384,40634,37780,33188,25649,19405,13109,7703,5162
1971-01-01,DE,81768,2907,480532,289709,275498,9986,38734,60769,54645,48500,39479,33784,32069,33502,34015,56478,31185,25827,21066,15854,12183,8569,5208,3354
1971-01-01,FL,1074995,28029,6059947,3704949,3458022,110081,411007,666544,617784,559124,435178,381473,363916,396838,407532,598777,390130,369443,382462,390513,311483,204899,107180,58607
1971-01-01,GA,1218555,10938,3480228,2423817,2285904,90515,338405,493235,460770,443093,340958,286635,259165,261681,256394,463822,239054,212624,181750,144313,101078,68963,41002,26264
1971-01-01,HI,8470,536105,256676,384825,416426,16313,56304,82134,75555,87943,62518,51617,47251,48558,47370,78949,40791,32796,25860,18820,12808,7767,4815,3082
1971-01-01,IA,34038,8510,2809327,1464267,1387608,48533,184970,295558,279739,223096,174039,150195,140210,151982,157519,269224,154037,141868,128238,108863,92454,72230,47330,31790
1971-01-01,ID,2213,11187,725456,369546,369310,14664,53222,81018,76980,60294,47953,40945,37552,38527,39305,72495,39050,35794,31007,23917,18100,13512,8823,5698
1971-01-01,IL,1459263,80900,9665790,5766051,5439902,193600,741282,1143081,1040933,908169,759398,651220,600476,645827,664641,1058439,634211,573197,485855,384366,295353,215327,130826,79752
1971-01-01,IN,366139,14294,4869595,2689687,2560341,94938,363239,550685,514986,446115,352715,299620,276250,296705,303473,510926,280229,247755,211576,170174,133487,97077,60782,39296
1971-01-01,KS,109233,16295,2120933,1144220,1102241,37403,137704,224737,219105,200316,142215,119762,114293,122228,126263,201899,119554,110027,100876,86111,70607,53866,35537,23958
1971-01-01,KY,235791,5845,3056929,1680681,1617884,57846,221123,340744,329931,288337,213965,183892,170365,180181,183913,311413,171706,158135,142459,119896,92386,65988,40341,25944
1971-01-01,LA,1102152,12851,2595412,1904389,1806026,72580,275964,415739,387331,326968,241707,205162,189652,200641,197992,387401,182174,164435,145289,121563,85538,56520,32377,21382
1971-01-01,MA,186117,33249,5519268,2994432,2744202,92188,366940,563294,530523,496450,382167,308020,291951,322526,339275,521942,329602,295124,256882,210284,173162,127765,79680,50859
1971-01-01,MD,744786,29694,3247990,2057688,1964782,68404,272583,421764,374388,350912,295674,250641,230388,243237,249366,394591,224446,186258,150426,114026,84083,56744,33699,20840
1971-01-01,ME,3086,4010,1008583,520049,495630,17445,68179,104363,97387,83085,61969,53739,52217,56030,57161,96880,54249,49911,46084,38902,31283,22655,14383,9757
1971-01-01,MI,1024847,46033,7901077,4574031,4397926,165848,635000,983492,897430,757500,606179,504165,467792,514459,527410,894636,487803,420426,345271,268862,204729,148665,88887,53403
1971-01-01,MN,37484,35660,3778828,1962727,1889245,68145,261756,418551,384516,318426,257880,213617,192469,200848,203197,384634,196219,179168,158028,132329,110374,84294,53385,34136
1971-01-01,MO,484456,17632,4220896,2444137,2278847,78583,295248,474643,442703,380010,303202,258140,243769,259354,268154,431145,254117,240686,224337,192197,150996,110666,70076,44958
1971-01-01,MS,824348,7743,1433027,1166347,1098771,45837,167408,254917,240473,191083,132911,117779,109019,114447,113447,233433,109676,105439,99270,86440,60611,41663,24550,16715
1971-01-01,MT,2049,30100,679004,355400,355753,12491,46476,79285,72695,57422,45120,39590,36583,38647,38899,69883,39315,35387,29500,22909,17062,13670,9874,6345
1971-01-01,NC,1148633,55663,3996328,2656436,2544188,93406,348795,529890,532117,496970,357894,308228,287638,300204,299643,486479,275386,244219,207946,164186,116604,78178,44950,27891
1971-01-01,ND,2598,16176,608040,310262,316552,11169,41118,70108,66285,54501,36857,31792,30781,32297,31986,61426,32090,30872,27791,22485,17644,13175,8704,5733
1971-01-01,NE,41481,10469,1452475,768890,735535,25608,97060,154477,146553,125752,93409,80394,76774,80128,81216,141792,77103,71950,67052,57337,48644,38197,24662,16317
1971-01-01,NH,2720,2027,757443,389157,373033,13225,52911,76884,71100,64273,51343,43835,40337,41817,42638,73429,40586,36380,32620,27155,21937,15749,9502,6469
1971-01-01,NJ,803101,42005,6436886,3760273,3521719,117304,466592,727219,638373,546655,471567,418076,410597,457136,477927,673503,450252,391949,324873,252275,194603,136267,80108,46716
1971-01-01,NM,20372,79994,952967,533504,519829,21589,78382,125568,110890,92093,69696,61921,58637,58296,55861,115923,49505,43381,36388,28521,19857,13662,8146,5017
1971-01-01,NV,30464,13114,476449,256184,263843,9504,35893,52437,44142,44450,40329,36448,32812,32333,32219,50371,29841,25542,19841,14195,9074,5653,3093,1850
1971-01-01,NY,2229554,199653,15935784,9582519,8782472,301859,1163384,1740708,1610764,1471250,1238526,1063699,1011020,1100993,1131583,1627650,1075752,986965,870458,700637,543106,375984,220563,130090
1971-01-01,OH,988043,30997,9715857,5528059,5206838,190515,727982,1127987,1037647,893180,705885,609459,569538,626613,650023,1022591,602624,522909,438232,343589,268924,198521,122125,76553
1971-01-01,OK,176780,112639,2328696,1341865,1276250,44272,160482,257531,249701,224760,169573,144739,137803,144473,148342,232549,138958,132464,123806,107170,81679,58716,36617,24480
1971-01-01,OR,27617,34006,2088319,1095121,1054821,35704,132526,215099,208773,178620,148726,123894,110327,117399,124109,190555,120932,112449,97586,78833,61635,45261,28833,18681
1971-01-01,PA,1022863,35022,10826577,6170150,5714312,184812,732097,1172390,1102864,924075,724815,622333,611216,715363,768309,1046082,746953,670288,572809,452614,348637,250178,148934,89693
1971-01-01,RI,26700,6224,931064,492268,471720,15410,60106,90424,89050,93134,61518,49522,47110,54689,59344,84027,57052,51698,44771,36198,28848,20788,12554,7745
1971-01-01,SC,806820,6977,1847819,1355897,1305719,50752,189408,287595,288161,258201,182206,153115,141813,144888,147333,264986,135452,118281,99756,78274,53267,35538,20067,12523
1971-01-01,SD,1746,35422,634396,338135,333429,11646,43645,74007,71221,53996,37091,32491,32098,35011,36123,65437,35272,32631,29529,25443,21633,16602,10810,6878
1971-01-01,TN,632533,8355,3369450,2069543,1940795,69379,260606,402770,390069,347401,271643,235632,218156,227997,231043,368548,215875,197607,176510,145124,106469,73555,43795,28159
1971-01-01,TX,1425008,62321,10022707,5865048,5644988,221711,804797,1207464,1136446,1049808,799998,671897,627014,647763,639610,1123895,573256,518327,456359,378016,276660,190406,113690,72919
1971-01-01,UT,7026,21093,1072679,556000,544798,27298,93840,125488,121011,108965,77202,60582,53867,54271,53140,116965,49597,42413,35965,28374,21766,14962,9303,5789
1971-01-01,VA,878936,26922,3846622,2407119,2345361,81961,310812,482404,456906,466896,346222,293013,270802,279620,283147,444900,256210,218119,179528,140519,102819,70199,41819,26584
1971-01-01,VT,843,965,452570,232121,222257,8220,31609,46857,45938,39225,30365,25276,22888,23886,23982,44549,22938,20950,19195,16048,12934,9376,5962,4180
1971-01-01,WA,74834,88306,3283930,1735060,1712010,59679,219078,351021,335435,311074,245648,202410,181447,190328,201059,317268,190904,169402,141952,111616,85947,63659,41631,27512
1971-01-01,WI,135054,30694,4294264,2270075,2189937,76404,302584,478508,444313,366659,282385,239391,223169,239522,243265,441104,234408,217182,191496,158924,129039,95505,59088,37066
1971-01-01,WV,66921,3226,1700199,911952,858394,29308,112504,177489,174965,140945,103728,92279,88661,102226,107884,155446,103711,96848,85978,70066,53430,37459,22603,14816
1971-01-01,WY,2652,6433,330973,168638,171420,6470,23041,36595,34125,28432,23481,19482,18377,19480,19287,32880,17997,16069,13538,10537,8161,6134,3741,2231
1972-01-01,AK,10027,57702,258702,150175,176256,7096,26807,36332,30635,39042,32974,26003,21823,18377,15816,35684,12987,9325,5879,3508,1843,1078,626,596
1972-01-01,AL,915740,7888,2616375,1831191,1708812,59151,244601,372472,358869,299741,239643,201074,185040,192881,194356,329856,187406,170880,154665,132289,92186,63059,37339,24495
1972-01-01,AR,354048,6437,1657502,1038165,979822,32716,133863,202182,194807,160881,132588,108883,98891,102391,105307,180336,107396,103417,100601,91085,66833,47630,29082,19098
1972-01-01,AZ,59309,123234,1826309,1017302,991550,35975,142977,211546,198133,179419,148239,118602,105629,105590,106740,187704,103065,91236,84575,73790,52801,34136,18333,10362
1972-01-01,CA,1494748,836446,18253724,10439843,10145075,320535,1298933,1993759,1926838,1877276,1642984,1319703,1157247,1182630,1219433,1797391,1150195,975753,813635,664496,505827,361936,228083,148264
1972-01-01,CO,76053,30521,2298141,1211853,1192862,39827,159827,246473,241366,238241,199935,157661,135718,133171,130030,218818,120072,100803,84854,66897,51142,37942,25026,16912
