year,state,Black,Other,White,Female,Male,0 years,1-4 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,5-9 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85+ years
2006-01-01,CO,218810,223149,4278464,2352960,2367463,67456,267014,322968,334123,343668,338467,334947,348239,358798,374525,313990,342438,295417,199307,145142,112778,92634,69116,59396
2006-01-01,CT,388120,147226,2982114,1807675,1709785,40108,168704,248202,251840,215159,195543,207734,253158,287782,292896,226250,257563,226873,169373,121626,102369,96247,78986,77047
2006-01-01,DC,325064,24353,221264,301322,269359,7321,24036,30048,39473,55644,56351,48803,43247,39469,38310,25968,36200,34626,25219,18803,14796,12766,10427,9174
2006-01-01,DE,187148,32067,640053,442766,416502,11274,43940,58289,62875,59032,57138,50735,59479,65164,66035,53078,58677,54679,43045,34437,28343,23206,16536,13306
2006-01-01,FL,2969250,563497,14634243,9280080,8886910,221765,859431,1151818,1214669,1180227,1127022,1094633,1223911,1359055,1357641,1047894,1216282,1150141,958167,824321,710856,629155,463236,376766
2006-01-01,GA,2805927,335406,6014480,4670606,4485207,139467,539388,669318,677408,652056,657774,654603,700324,714965,682560,644011,598116,536414,383636,289474,222213,171109,121869,101108
2006-01-01,HI,33889,954183,321659,652351,657380,17796,66580,85712,86486,98038,93138,82917,88861,93395,96670,76190,95208,87025,64908,47707,39473,36572,28913,24142
2006-01-01,IA,90031,64305,2828308,1511124,1471520,40159,153152,204516,220540,221840,177014,175007,186626,209189,225787,193815,213439,187230,135795,112154,96495,87948,71253,70685
2006-01-01,ID,12702,47511,1408456,732104,736565,23746,90953,110946,113920,109168,99649,91630,93824,98164,103951,109864,98891,87352,65865,51523,39955,32437,24730,22101
2006-01-01,IL,1947836,641683,10054436,6440022,6203933,169033,684749,913671,921587,882932,885291,852538,896374,938217,964149,847980,862914,756726,544441,422623,343777,305729,237652,213572
2006-01-01,IN,600368,123870,5608431,3218203,3114466,87074,342863,454143,469646,450986,412971,399289,429589,463686,482820,437119,440819,390539,283688,223873,181071,158700,120473,103320
2006-01-01,KS,180509,104030,2478392,1394092,1368839,39345,153862,196898,207663,212607,172701,170436,175758,194812,208950,191333,193700,166960,118498,93711,79965,72373,57740,55619
2006-01-01,KY,339736,60180,3819323,2149096,2070143,56206,217348,285818,291818,290187,282467,272602,292945,314527,324805,274947,299799,274714,202771,162739,129847,106045,76666,62988
2006-01-01,LA,1369467,99111,2834087,2204072,2098593,52290,235992,306045,326381,329137,300741,259521,281618,310162,328225,288596,304278,268931,194988,155046,124472,103659,73879,58704
2006-01-01,MA,492621,363605,5553858,3311185,3098899,74330,297454,420942,465986,442959,416486,401913,466382,511005,511381,385676,455794,411603,296941,218254,187316,173645,140329,131688
2006-01-01,MD,1705298,337184,3584885,2907963,2719404,73820,291752,398974,409378,371492,371645,354146,414217,458642,457583,358243,402904,360392,257859,188572,148591,127536,97538,84083
2006-01-01,ME,16243,23252,1284124,676157,647462,14012,56811,85366,94177,80392,70538,73229,89742,104183,111597,75533,105294,97310,70988,53867,45480,39453,29343,26304
2006-01-01,MI,1494911,332664,8208506,5106621,4929460,124689,510771,730633,760901,682237,608963,610093,691345,748354,791945,669858,727584,643295,465970,353433,289713,259216,198062,169019
2006-01-01,MN,268698,274366,4620491,2600951,2562604,70603,276067,361903,381318,369341,340216,321252,355218,396166,414542,340828,369304,313828,222563,171812,139227,123280,98402,97685
2006-01-01,MO,704464,136052,5002188,2987563,2855141,78061,303187,406907,427560,415143,380893,355143,383032,428058,451118,381157,406935,364625,276273,220958,184129,156244,118596,104685
2006-01-01,MS,1080399,41920,1782659,1496313,1408665,41608,163060,215913,224205,216848,192860,180945,188571,204690,212432,201432,195721,177137,131359,109081,87141,71007,49247,41721
2006-01-01,MT,6227,72411,874054,475341,477351,11856,46217,63317,70498,71250,54531,53016,55529,65472,76617,58149,76404,67718,49336,38645,30438,26005,19490,18204
2006-01-01,NC,1986797,330336,6600137,4563152,4354118,123321,478045,603991,628623,623270,581602,610716,654765,671568,665654,586053,606748,561222,424867,331120,267906,216260,155053,126486
2006-01-01,ND,8174,42806,598442,322583,326839,8427,31416,41869,50296,63101,37963,37575,37177,43399,49518,38214,48076,39287,28722,23195,20929,19139,15226,15893
2006-01-01,NE,86994,55015,1630684,894687,878006,25824,101729,124213,132554,135370,111323,112007,111855,122948,133170,119374,123666,107599,75825,60595,52890,47871,37562,36318
2006-01-01,NH,17556,32038,1258795,662773,645616,15117,59993,91154,97292,83287,68526,76085,94211,110024,115461,79726,101584,90462,63594,46091,37559,31842,24039,22342
2006-01-01,NJ,1298653,730050,6632976,4448099,4213580,106669,449213,607070,595929,515222,536270,555430,644938,709951,703150,561481,609455,541278,401047,303183,253167,230280,179547,158399
2006-01-01,NM,51749,238349,1672039,993969,968168,28482,111143,142775,151293,142672,130857,116588,122313,137620,146405,130787,137282,126591,92997,74570,60178,47788,34239,27557
2006-01-01,NV,221504,241144,2060010,1243993,1278665,37761,145846,177274,167002,168371,189789,178203,189758,190146,182663,167763,166621,157941,123105,94764,71394,54179,35661,24417
2006-01-01,NY,3453892,1573353,14077386,9871401,9233230,236006,924991,1297452,1378904,1324873,1326593,1234210,1381743,1475057,1470367,1164565,1318003,1199399,880240,680803,566146,502443,390279,352557
2006-01-01,OH,1457396,230408,9793409,5883067,5598146,145580,580961,809421,835744,759867,739109,681356,776658,840713,905412,756475,832404,747833,528515,424089,352851,316143,243614,204468
2006-01-01,OK,299029,421492,2873569,1818693,1775397,51523,198198,247289,262785,275212,239618,223686,227010,248316,265270,241469,245396,221709,171562,138920,116032,94081,68736,57278
2006-01-01,OR,83196,227292,3360395,1853117,1817766,46380,182254,242105,255894,250395,247606,241351,251158,254628,273664,230153,276739,254585,182251,136489,107453,92923,75798,69057
2006-01-01,PA,1421259,365391,10724159,6429312,6081497,144516,576959,838105,917397,828158,752467,708505,834948,929004,994997,746070,919683,824281,602770,481727,419774,399346,317038,275064
2006-01-01,RI,78412,42310,942374,550134,512962,11875,48411,69179,82755,79150,67202,61673,73913,81882,84040,62766,75956,67162,49016,36203,30693,30656,26008,24556
2006-01-01,SC,1273536,80961,3003350,2237655,2120192,59104,224562,295459,323385,308596,291713,273229,296162,318451,322637,279705,302012,286075,221587,174260,138107,105668,76579,60556
2006-01-01,SD,10173,79250,693610,392420,390613,11326,43442,55042,59679,60163,48360,44553,46224,54147,58850,52108,55979,47605,34962,27917,24503,22507,17810,17856
2006-01-01,TN,1047600,114658,4926508,3121455,2967311,80595,315007,415802,424339,408506,414933,394269,427043,454716,458967,398826,426578,395461,299364,237951,188981,149766,108412,89250
2006-01-01,TX,2904002,1108616,19346962,11771243,11588337,378859,1484194,1782260,1783634,1763694,1704518,1657359,1672898,1707389,1693586,1718006,1486845,1276178,920509,704964,568948,459482,329789,266468
2006-01-01,UT,33424,117826,2374257,1257991,1267516,50577,192288,203418,211602,235871,213816,181942,156379,149087,152595,218609,137785,116151,84521,65503,52813,43706,32209,26635
2006-01-01,VA,1565510,453269,5654946,3908475,3765250,102331,400461,516048,545414,561301,514211,509756,561861,604814,606039,482333,542719,489786,356344,266718,208653,172542,127371,105023
2006-01-01,VT,6911,10865,605116,316290,306602,6051,26422,41341,48968,44401,31965,34737,41113,48182,52737,35114,50540,45735,32699,23734,18870,16300,12573,11410
2006-01-01,WA,275137,637556,5458060,3200695,3170058,85324,324601,437809,455515,451994,440940,414996,459201,476861,497631,410681,467980,416958,296311,214379,164448,140189,112153,102782
2006-01-01,WI,367132,186406,5024117,2812276,2765379,70529,280361,388191,414706,399903,340183,337939,376007,425318,446692,359682,405963,350824,250399,196194,163347,148427,114663,108327
2006-01-01,WV,66217,17041,1744654,930605,897307,21176,82396,111958,120417,119150,111694,109983,118523,127919,140878,103744,141065,135802,99102,82672,67806,58431,42351,32845
2006-01-01,WY,6055,18902,497710,257361,265306,7416,27331,34764,38760,40907,34117,30737,31309,35236,42386,32939,42001,36156,25298,19182,15109,12379,8919,7721
2007-01-01,AK,29592,160295,490413,327138,353162,10650,39569,51675,54721,54082,48712,43446,46472,49982,56561,48030,55115,44050,29629,18006,11697,8515,5383,4005
2007-01-01,AL,1243867,88340,3340633,2407275,2265565,62907,237393,320407,341279,327293,307619,286033,312470,326486,348251,306013,332544,298032,244043,189797,152814,121729,86812,70918
2007-01-01,AR,453433,66265,2328952,1451358,1397292,40530,154411,193806,203006,195065,195502,172858,184379,194423,202539,191244,194147,177053,150870,121028,96253,76233,56093,49210
2007-01-01,AZ,278537,534739,5354405,3096998,3070683,96177,373503,439161,448264,428652,450343,400894,418635,412888,420635,427998,387167,356562,303835,243729,195856,158624,113548,91210
2007-01-01,CA,2639369,5778606,27832336,18214926,18035385,527233,2018510,2681413,2793601,2658718,2692305,2488229,2674758,2664103,2671568,2398296,2415918,2043625,1574798,1140443,905608,762259,601524,537402
2007-01-01,CO,224746,232636,4346486,2396433,2407435,68795,271047,323327,337309,341920,349048,335759,355948,350466,376497,322967,352394,300917,222515,153405,115291,93946,69962,62355
2007-01-01,CT,394640,153317,2979313,1811617,1715653,40579,166747,246009,253564,218128,198786,203854,247350,280423,293852,223656,265268,223556,183958,127540,101848,94384,78681,79087
2007-01-01,DC,321494,24264,228646,302949,271455,7735,24123,28552,39934,57203,59129,48747,43535,38720,37883,25107,36606,34041,26857,19548,14704,12188,10313,9479
2007-01-01,DE,192615,34028,645106,449398,422351,11619,44378,57424,64208,60273,57870,50353,58894,64222,66829,54150,61097,54582,46645,36546,28401,23510,16764,13984
2007-01-01,FL,3029024,587833,14750985,9378587,8989255,224817,861423,1143390,1233492,1198551,1155866,1081460,1226154,1331439,1375257,1057391,1253629,1151092,1020705,851830,718618,624093,468010,390625
2007-01-01,GA,2891925,356091,6101972,4777572,4572416,144910,549087,676052,695123,656110,671612,648845,713643,713337,696382,663877,622536,540663,422824,304513,227820,174541,123651,104462
2007-01-01,HI,32822,959244,323609,657185,658490,18620,67472,84203,86731,94550,93805,81701,88356,91708,96616,76473,96530,89192,70144,49759,39169,35876,29369,25401
2007-01-01,IA,94830,66850,2837532,1518023,1481189,41057,155496,202111,220865,216397,185774,174859,185386,201867,224481,195305,216520,190005,146906,114670,97301,86720,71424,72068
2007-01-01,ID,13628,50228,1441249,750127,754978,24821,93947,112826,115488,108915,103453,94913,95972,96942,104831,113374,101632,89862,71768,54416,41242,32781,24910,23012
2007-01-01,IL,1951157,666366,10078343,6467577,6228289,171292,680035,902390,928377,880284,896088,846449,895616,914035,963025,849196,884179,757044,585472,438209,345528,300856,237865,219926
2007-01-01,IN,612333,129944,5637322,3241454,3138145,88218,345177,451522,475093,446582,420297,396024,431045,451997,482191,440411,451976,391943,307215,232576,182378,156746,121405,106803
2007-01-01,KS,183812,107314,2492659,1405705,1378080,41071,155170,195701,207485,206987,180879,170408,176255,187085,208241,195350,198668,168544,129429,96493,79909,71474,57576,57060
2007-01-01,KY,347061,62988,3846623,2164210,2092462,58021,219425,283057,295381,290952,288005,270066,294678,307953,324881,277128,305760,274363,218956,169278,131176,105365,77480,64747
2007-01-01,LA,1411396,103085,2861100,2239125,2136456,64614,234644,305481,329415,333395,313172,262684,282805,303577,329081,295668,313654,270966,211429,160615,125151,103649,74806,60775
2007-01-01,MA,503993,375537,5552029,3321653,3109906,74969,294040,414745,468978,451254,419757,394990,455329,499666,513270,384671,467531,407031,325145,226873,186159,170355,141056,135740
2007-01-01,MD,1724204,350313,3578891,2920109,2733299,75872,290037,390548,413201,377505,377424,348828,407302,447302,459445,357932,413351,356694,279414,197614,149154,126067,98011,87707
2007-01-01,ME,17339,23873,1285828,677797,649243,14385,56881,83154,93175,79870,72013,71615,88026,100747,111318,75146,107663,97487,77556,55933,45656,39556,29851,27008
2007-01-01,MI,1492428,338112,8170744,5091035,4910249,123680,502441,711659,765941,671666,610734,587179,679124,724024,781618,662058,743065,644997,501860,369734,290500,255296,200195,175513
2007-01-01,MN,282436,284744,4640023,2622551,2584652,73014,280024,357447,380508,363691,355723,322581,350946,382138,416502,342932,378262,319248,241875,178585,141058,122984,99369,100316
2007-01-01,MO,712454,141469,5033689,3007493,2880119,80083,305717,401599,430348,412559,392202,353627,383194,413286,452768,384465,418886,365881,296652,229809,185216,155274,118758,107288
2007-01-01,MS,1092496,43567,1792287,1507071,1421279,44937,164581,212808,226889,213013,198122,179815,191104,199041,211915,203227,201131,176923,141888,111822,88176,70085,50482,42391
2007-01-01,MT,6460,73807,884439,480939,483767,12431,46929,62509,70106,69187,58662,53708,56253,62748,76039,58937,77701,69803,53678,40302,31266,26061,19566,18820
2007-01-01,NC,2035660,349248,6733129,4677313,4440724,128200,488745,610065,646225,622736,594944,606706,670861,671961,679119,606930,628980,568145,465131,347674,273513,217502,158313,132287
2007-01-01,ND,8538,43933,600351,324066,328756,8684,32339,40978,49571,60345,42104,37712,37167,41478,48906,38304,48781,40811,30914,23589,20861,19018,15193,16067
2007-01-01,NE,89065,57179,1637196,900106,883334,26338,102779,122973,132019,132382,116991,111309,111698,118375,133204,120767,125502,109369,82012,62263,52948,47612,37537,37362
2007-01-01,NH,18115,33278,1261147,664987,647553,14021,59997,89421,97508,83253,70349,73224,92159,106779,115601,78644,104807,90357,70341,48734,37772,31947,24456,23170
2007-01-01,NJ,1304334,758299,6615252,4455148,4222737,109121,442155,599124,602132,518641,540877,547730,631757,693174,705176,558388,628350,533290,432451,313523,251286,226689,180286,163735
2007-01-01,NM,53356,243238,1693476,1007922,982148,29618,112876,141142,151177,142475,134930,117810,123823,133261,146768,133352,141154,129100,101811,77420,61142,48733,34569,28909
2007-01-01,NV,233966,259419,2107687,1284052,1317020,39465,150468,180806,174629,173295,197495,181471,195115,191156,187662,172980,173717,158363,133694,99644,73835,54725,36387,26165
2007-01-01,NY,3456802,1623909,14051624,9881510,9250825,241840,915181,1265844,1387788,1344141,1335918,1229096,1353206,1439224,1468966,1154883,1344831,1187485,946384,700038,566103,495440,392901,363066
2007-01-01,OH,1473382,237907,9789179,5890965,5609503,147922,580087,795103,840649,752873,745854,668575,771123,814653,896004,755051,851768,745347,574346,439188,353443,311070,245152,212260
2007-01-01,OK,304098,432552,2897699,1837175,1797174,53485,200558,245909,264947,272430,250291,224067,230872,240393,265257,246929,252376,220985,184489,143688,116537,93888,68826,58422
2007-01-01,OR,86203,236561,3399653,1879347,1843070,48445,184490,241373,258529,250519,256345,243190,255203,249968,271848,231491,279780,257289,200645,144085,109541,92014,76055,71607
2007-01-01,PA,1445762,382940,10735235,6452087,6111850,147687,579034,822703,922241,836312,765355,699423,825545,906989,988062,746215,941852,823109,654561,496107,416214,390900,317074,284554
2007-01-01,RI,80091,42888,934336,546859,510456,12094,47651,67375,82277,79734,66971,59928,72067,78857,83684,61614,77519,66245,53481,37387,30490,29180,25730,25031
2007-01-01,SC,1289462,85971,3068677,2280792,2163318,62732,228986,293680,329135,314912,296489,274024,301338,315060,326083,285880,311258,288801,242138,184227,141409,107322,76945,63691
2007-01-01,SD,11082,81056,699485,396650,394973,11842,44666,54311,59384,58265,51241,45683,46267,51703,59052,52823,57247,49557,37533,28801,24638,22431,17945,18234
2007-01-01,TN,1062187,121502,4992038,3162280,3013447,83047,318049,414667,432306,414325,423556,391488,433818,448230,461409,404615,437733,395723,324019,248826,191581,150965,109192,92178
2007-01-01,TX,2962118,1175564,19694301,12010572,11821411,385276,1506810,1799309,1816469,1766141,1758363,1667606,1718605,1691301,1716965,1769005,1547906,1295273,1004857,736496,577962,462602,334631,276406
2007-01-01,UT,36225,123725,2437796,1292672,1305074,52572,198689,209206,215162,231805,223511,190780,163342,148938,154099,228079,143447,119293,91933,68312,53948,44177,32682,27771
2007-01-01,VA,1583256,475633,5692111,3947966,3803034,104465,401874,511703,550422,564400,528599,503981,560263,594062,610311,488608,557935,486063,387923,278120,212092,172382,128016,109781
2007-01-01,VT,7264,11232,604985,316538,306943,6480,26095,40082,48510,44083,33088,33694,40209,46318,52286,34804,51385,46134,35627,24918,18966,16247,12814,11741
2007-01-01,WA,283382,663939,5514266,3247800,3213787,88715,330704,434301,461453,449083,454918,417319,464048,467046,498451,414417,480601,420391,327207,225840,168285,139974,111930,106904
2007-01-01,WI,374709,192598,5043468,2827782,2782993,72884,282459,383257,412836,394654,352979,335350,370002,413367,448284,361374,414618,356728,271115,203054,164340,146580,115786,111108
2007-01-01,WV,67505,17444,1749103,932683,901369,22071,82160,109958,121325,117395,111690,109162,119170,125494,138331,104377,142362,135790,107292,85109,68389,57299,42779,33899
2007-01-01,WY,6455,19664,508757,262776,272100,7956,28906,34776,38640,40998,36938,31512,32604,33947,41757,34079,43339,36968,27692,20119,15248,12499,9013,7885
2008-01-01,AK,30075,163415,493965,329412,358043,10815,40304,50783,53905,54291,51241,44137,46213,48082,55716,48232,55447,46586,31381,19549,12249,8726,5513,4285
2008-01-01,AL,1259177,92493,3366536,2430257,2287949,63816,241026,319503,345580,328751,311504,287272,313869,318765,348148,306682,340006,301833,254507,198122,156112,121862,88254,72594
2008-01-01,AR,458375,69333,2346846,1464220,1410334,40784,156369,194526,204132,195965,195672,175268,185513,188901,204422,192784,197340,178827,156485,126402,98250,76674,56188,50052
2008-01-01,AZ,294617,555791,5429954,3155278,3125084,95576,378235,442701,458137,435282,452605,406053,422417,409294,424958,440171,400520,361835,320414,259777,202209,159753,115594,94831
2008-01-01,CA,2662354,5951637,27990346,18396972,18207365,529416,2031645,2640937,2823230,2685532,2729493,2497578,2650671,2628234,2683057,2423440,2475459,2094639,1654246,1204606,928138,761030,602079,560907
2008-01-01,CO,231792,243411,4414527,2439060,2450670,67363,275494,324735,340380,343707,360077,340567,359009,344601,376847,333114,360056,311073,238572,164500,118969,94493,71275,64898
2008-01-01,CT,401643,159920,2984016,1820749,1724830,39499,166037,243282,254565,220127,206261,202930,239823,274541,292469,223384,273577,227680,188810,137635,102945,92130,78571,81313
2008-01-01,DC,318392,26424,235420,306265,273971,7888,24836,26935,40510,59153,61925,50168,42923,37883,38290,24698,36618,33949,27675,20174,14970,11954,9932,9755
2008-01-01,DE,197813,35750,650311,455481,428393,11520,44867,57026,65226,60935,57778,51602,58056,62921,67105,55129,63216,55460,49317,38796,29378,23800,17146,14596
2008-01-01,FL,3086395,607973,14832937,9465279,9062026,222151,863428,1134890,1241381,1207898,1170676,1079825,1216183,1297425,1388103,1065778,1286729,1159372,1058462,898069,734873,621616,475065,405381
2008-01-01,GA,2962628,376299,6165916,4856984,4647859,142686,557645,678453,707536,664222,681298,649244,719274,708783,707031,677476,641590,549947,447320,326491,235231,176787,125789,108040
2008-01-01,HI,33067,970661,328485,665313,666900,18536,69318,82836,86803,94464,96871,83398,88096,90431,96427,77674,97395,90399,75104,52540,39838,35513,29678,26892
2008-01-01,IA,99622,69194,2847918,1525539,1491195,40863,158389,200663,220966,214273,191818,176850,183177,194490,222692,197771,219888,194836,153268,119380,97936,85023,71614,72837
2008-01-01,ID,14244,52333,1467743,764792,769528,24737,96835,113774,116463,108852,107103,96907,97527,95229,105115,117013,103339,92268,75980,58262,42952,32969,25311,23684
2008-01-01,IL,1955231,689144,10102663,6493537,6253501,167968,679695,892352,931065,876545,910258,847213,886700,893262,956686,851542,903901,773071,607263,459748,352243,295130,237298,225098
2008-01-01,IN,624185,135811,5664810,3263963,3160843,87494,348579,450850,478890,446225,423360,397788,429559,439878,479291,442999,462442,400441,319378,245130,185480,154550,122555,109917
2008-01-01,KS,188485,111228,2508363,1415563,1392513,41248,158238,195555,206346,207304,188733,172155,176599,179723,206631,198314,201782,172798,135325,100982,80550,70536,57493,57764
2008-01-01,KY,352036,65532,3872310,2183532,2106346,58101,223366,283043,298442,286571,287967,270962,293111,300901,324724,280030,313357,279013,229628,176939,134240,105001,77903,66579
2008-01-01,LA,1444476,107463,2883647,2269630,2165956,66929,242837,305089,331587,332518,323053,269714,280917,296066,329184,298906,321251,277450,222222,167737,128055,103217,76169,62685
2008-01-01,MA,517040,389710,5562217,3340730,3128237,74335,293954,409756,469548,458792,428870,394280,442995,488473,514728,384968,478565,414285,338244,242829,187230,167004,140799,139312
2008-01-01,MD,1741767,363531,3579667,2935788,2749177,75041,291074,382653,413496,380503,384464,351178,397531,436039,459719,360071,422855,361613,290470,210752,152471,125355,98326,91354
2008-01-01,ME,18505,24687,1287317,679413,651096,13965,57242,80956,92327,80001,72758,71184,85698,97312,110517,74959,109597,98961,81694,59398,46584,39115,30326,27915
2008-01-01,MI,1485681,342559,8118649,5065899,4880990,119845,495024,696597,761676,664790,605221,575323,658307,698366,767728,651306,755909,656317,519459,393217,295187,249678,202290,180649
2008-01-01,MN,294544,294899,4657575,2642672,2604346,71839,283606,354831,377663,361413,366333,327529,344323,367507,416150,347065,387779,329500,252655,189295,144270,122350,99762,103148
2008-01-01,MO,719723,146657,5057536,3024837,2899079,79684,309406,398368,431330,411050,399665,355243,380859,397070,452653,385829,430134,372594,307696,241970,187243,154439,119348,109335
2008-01-01,MS,1103216,45191,1799399,1516955,1430851,44796,168275,209833,228812,210409,201370,180595,191634,193903,211278,203444,205665,179273,148203,115489,90202,70134,51441,43050
2008-01-01,MT,6665,74951,894799,486477,489938,12327,48351,61949,69350,68926,61420,55003,56457,60335,74662,60005,78510,72446,56343,43235,32212,25878,19820,19186
2008-01-01,NC,2084901,368315,6856233,4771376,4538073,128608,501192,616255,657428,638820,610065,613810,677233,669799,688876,620441,647629,576896,491700,370536,281302,219734,162104,137021
2008-01-01,ND,8994,45007,603568,326131,331438,8610,33617,40508,48731,59773,44815,37844,37068,39601,48213,38530,49362,42662,32450,24409,20930,18822,15415,16209
2008-01-01,NE,91900,60017,1644461,905814,890564,26398,103726,122239,131223,130843,121349,112497,111717,113521,132311,123980,127405,112383,86038,64608,53468,47080,37832,37760
2008-01-01,NH,18948,34607,1262351,666576,649330,13850,59103,87644,96792,83475,71946,71745,89380,102737,115521,77980,107792,92063,74520,52450,38434,31890,24806,23778
2008-01-01,NJ,1311696,787686,6611708,4469901,4241189,108724,437783,592753,603910,523909,548528,548197,617501,675290,705963,560357,646177,539846,444247,332516,253763,222177,180582,168867
2008-01-01,NM,54341,248864,1707457,1018578,992084,29383,114855,139938,151343,141128,136330,120107,123684,128457,147252,136296,143585,132123,107807,81451,62684,49102,35220,29917
2008-01-01,NV,244200,274186,2135244,1310601,1343029,38556,153991,181778,179570,176177,200873,185619,196351,192004,190555,177236,178525,159618,139759,106139,76565,55449,37236,27629
2008-01-01,NY,3473867,1680783,14057786,9918841,9293595,241947,917292,1240752,1390597,1363442,1357609,1240874,1321322,1404934,1467841,1154965,1373374,1201432,976786,734378,572754,485305,394016,372816
2008-01-01,OH,1488002,245417,9781972,5896594,5618797,145803,581030,785304,840788,752870,741612,670378,757298,790142,881559,752633,870340,757215,599290,459440,360321,303946,246770,218652
2008-01-01,OK,307270,444300,2917406,1854771,1814205,53601,204215,247181,266021,268392,257363,226970,232049,232854,265234,250053,257970,225193,191645,149765,118030,93628,69202,59610
2008-01-01,OR,89386,244965,3434397,1903535,1865213,47701,188352,241418,259067,251488,261300,248520,256332,246407,269362,234517,279624,263725,212891,154265,112897,91390,75513,73979
2008-01-01,PA,1469600,399587,10743098,6473295,6138990,147162,582469,807692,922093,844073,775864,705068,807688,885181,975594,749392,962233,838606,679758,523050,418486,377806,318603,291467
2008-01-01,RI,81603,44019,929381,545412,509591,11796,47285,65974,82103,80076,66627,60561,68863,76560,82860,60974,79247,67195,55180,39768,30647,28076,25528,25683
2008-01-01,SC,1308465,90913,3129618,2325047,2203949,63320,236411,293622,333269,319659,302815,277774,304406,311670,329178,290385,318795,293738,256976,197044,145779,109312,78248,66595
2008-01-01,SD,11798,82708,704618,400236,398888,11750,45995,53906,58793,57993,52928,46577,46126,49405,58902,53643,58380,51239,39612,30156,24886,22147,18175,18511
2008-01-01,TN,1074684,126431,5046296,3203115,3044296,84037,322932,415822,437444,413168,422783,393482,434884,440567,465046,410143,449052,400756,340299,262563,197317,152105,110739,94272
2008-01-01,TX,3027152,1243988,20037899,12249936,12059103,389296,1528319,1821807,1846558,1777634,1810114,1685788,1748350,1677080,1739074,1823831,1597310,1336272,1063618,779327,593305,466994,338651,285711
2008-01-01,UT,38231,129795,2495003,1325631,1337398,51787,205485,215007,218353,228889,228012,201357,168656,148825,155797,237313,147291,124004,97062,72562,55750,44826,33131,28922
2008-01-01,VA,1602530,497505,5733461,3988983,3844513,103442,405772,508988,553537,563806,544850,506336,556194,582073,614208,495406,571798,491619,405093,296792,217536,172534,129704,113808
2008-01-01,VT,7759,11300,605092,316722,307429,6343,26001,38963,47893,43583,34128,33614,39007,44510,51574,34933,51933,47032,37395,26738,19504,16006,12831,12163
2008-01-01,WA,294548,690365,5577318,3293162,3269069,89220,339607,433427,465642,456442,471107,427914,461482,458905,497559,418373,487865,431835,345360,242320,174158,139859,111080,110076
2008-01-01,WI,381998,198797,5060201,2842268,2798728,72003,285918,378544,410087,390094,363474,338218,361620,399370,447417,364638,423776,366886,283089,213709,167097,144492,116703,113861
2008-01-01,WV,68836,17882,1753592,934911,905399,22206,82760,109047,121453,115487,111645,108886,119417,123320,135640,105427,143211,137447,112450,88179,69894,55888,43628,34325
2008-01-01,WY,6502,20484,519057,267982,278061,7970,30207,35210,38839,40892,38737,32703,33394,33396,41106,35372,43873,38317,29349,21158,15808,12458,9103,8151
2009-01-01,AK,30573,168455,499867,337002,361893,11076,42046,50847,53319,52242,52695,45643,45566,47119,55898,50070,56420,48807,34268,21053,12706,8858,5754,4508
2009-01-01,AL,1271247,97489,3389202,2448159,2309779,61793,243619,319072,346611,332117,312199,293352,312797,313852,348256,307864,344478,307017,265870,205667,159088,121679,88283,74324
2009-01-01,AR,462207,73054,2361582,1475013,1421830,38962,159025,195945,203468,197338,194511,179622,185081,184069,206174,195101,199315,181568,162081,130962,99852,76838,56303,50628
2009-01-01,AZ,308020,571087,5464047,3189908,3153246,86485,376933,445967,461505,438897,447102,412192,420284,405504,428173,446994,407844,369424,335404,273341,209841,161072,116341,99851
2009-01-01,CA,2691724,6121995,28147510,18583075,18378154,499021,2045700,2606631,2834241,2725786,2744863,2534696,2614976,2599362,2702241,2465467,2518202,2156126,1749424,1261765,954464,763593,599827,584844
2009-01-01,CO,239309,254321,4478565,2480710,2491485,66225,277503,329032,341224,345713,367384,347863,357441,342953,376321,342826,366113,321695,255522,174777,124168,95317,72172,67946
2009-01-01,CT,409897,166066,2985844,1828779,1733028,38407,164794,241669,253688,224524,210390,204925,230386,266135,293027,222900,279713,234384,196400,144712,104495,89981,77982,83295
2009-01-01,DC,317978,27063,247187,311828,280400,7515,25192,25724,40713,61793,65193,53032,43847,37021,38956,26105,36587,34246,28504,21139,15031,11806,9785,10039
2009-01-01,DE,201775,37350,652605,459795,431935,11116,45243,56871,65095,61696,57670,53021,56687,61260,67718,55984,64964,56540,51114,40705,30055,23620,17176,15195
2009-01-01,FL,3133488,624965,14894191,9534289,9118355,211370,867452,1128143,1237756,1214648,1178740,1089985,1197558,1262559,1400748,1068926,1314445,1179080,1095519,935003,754685,614666,479274,422087
2009-01-01,GA,3023009,393657,6204180,4917756,4703090,134125,558627,683822,712243,676252,683221,654958,711582,700291,718047,688417,656120,562443,474041,344118,243988,179229,127921,111401
2009-01-01,HI,33296,980808,332613,673075,673642,18735,69142,81754,86740,94145,97489,85750,87957,88896,96076,81222,97353,92530,78549,56486,40580,34962,29842,28509
2009-01-01,IA,104045,72369,2856456,1532739,1500131,39835,161433,200576,219259,213377,196459,180582,178811,189453,220705,199300,221532,200365,161057,122347,99851,83363,71029,73536
2009-01-01,ID,15054,54220,1485165,775398,779041,23793,98036,115442,115965,108429,107098,100627,97398,94547,104871,119586,104027,95052,79845,61325,44808,33621,25398,24571
