year,total_agencies,participation_agencies,participating_agencies_pct,nibrs_participating_agencies,nibrs_participating_agencies_pct,covered_agencies,covered_pct,total_population,nibrs_population,state
1964,25,1,0.04,0,0,0,0,2577000,0,NA
1964,64,30,0.47,0,0,0,0,933089,0,RI
1964,573,68,0.12,0,0,0,0,2612428,0,SC
1964,192,83,0.43,0,0,0,0,715008,0,SD
1964,606,104,0.17,0,0,0,0,3847483,0,TN
1964,1265,417,0.33,0,0,0,0,10632278,0,TX
1964,199,59,0.30,0,0,0,0,1022241,0,UT
1964,3,0,0,0,0,0,0,0,0,NA
1964,492,133,0.27,0,0,0,0,4432857,0,VA
1964,105,27,0.26,0,0,1,0.04,409006,0,VT
1964,328,110,0.34,0,0,1,0.01,2997339,0,WA
1964,489,186,0.38,0,0,0,0,4156728,0,WI
1964,542,47,0.09,0,0,0,0,1799205,0,WV
1964,89,42,0.47,0,0,1,0.02,342992,0,WY
1964,1,0,0,0,0,0,0,0,0,NA
1964,0,0,0,0,0,0,0,0,0,NA
1965,55,7,0.13,0,0,0,0,253000,0,AK
1965,488,97,0.20,0,0,1,0.01,3582883,0,AL
1965,346,81,0.23,0,0,0,0,1940620,0,AR
1965,1,0,0,0,0,0,0,0,0,NA
1965,173,46,0.27,0,0,1,0.02,1643624,0,AZ
1965,931,388,0.42,0,0,3,0.01,19305039,0,CA
1965,321,93,0.29,0,0,1,0.01,2031589,0,CO
1965,129,78,0.60,0,0,0,0,2916000,0,CT
1965,1,0,0,0,0,0,0,42964,0,NA
1965,3,1,0.33,0,0,0,0,803000,0,DC
1965,84,12,0.14,0,0,0,0,513885,0,DE
1965,1219,168,0.14,0,0,0,0,5931510,0,FL
1965,825,129,0.16,0,0,0,0,4405667,0,GA
1965,3,1,0.33,0,0,0,0,63693,0,NA
1965,18,7,0.39,0,0,0,0,707238,0,HI
1965,283,188,0.66,0,0,0,0,2787395,0,IA
1965,152,70,0.46,0,0,0,0,696173,0,ID
1965,1186,375,0.32,0,0,1,0.00,10638859,0,IL
1965,414,224,0.54,0,0,1,0.00,4851257,0,IN
1965,473,181,0.38,0,0,0,0,2241683,0,KS
1965,709,136,0.19,0,0,0,0,3103039,0,KY
1965,314,92,0.29,0,0,0,0,3792822,0,LA
1965,511,217,0.42,0,0,0,0,5367405,0,MA
1965,213,53,0.25,0,0,1,0.02,3608274,0,MD
1965,260,84,0.32,0,0,0,0,1023557,0,ME
1965,874,264,0.30,0,0,2,0.01,8186269,0,MI
1965,485,202,0.42,0,0,4,0.02,3672699,0,MN
1965,727,209,0.29,0,0,0,0,4578974,0,MO
1965,258,74,0.29,0,0,0,0,2298798,0,MS
1965,148,84,0.57,0,0,0,0,741925,0,MT
1965,342,124,0.36,0,0,0,0,1492639,0,NE
1965,827,149,0.18,0,0,0,0,4791348,0,NC
1965,144,62,0.43,0,0,0,0,641361,0,ND
1965,259,43,0.17,0,0,0,0,644015,0,NH
1965,658,320,0.49,0,0,0,0,6798848,0,NJ
1965,164,60,0.37,0,0,0,0,1101542,0,NM
1965,79,26,0.33,0,0,0,0,393213,0,NV
1965,1257,367,0.29,0,0,1,0.00,18661279,0,NY
1965,933,360,0.39,0,0,0,0,10518496,0,OH
1965,498,143,0.29,0,0,1,0.01,2519225,0,OK
1965,305,90,0.30,0,0,0,0,1907050,0,OR
