year,state,governor,party
1858-01-01,OH,Salmon Portland Chase,Republican
1858-01-01,PA,William Fisher Packer,Democrat
1858-01-01,RI,Elisha Dyer,Republican
1858-01-01,SC,William Henry Gist,Democrat
1858-01-01,TN,Isham Green Harris,Democrat
1858-01-01,TX,Hardin Richard Runnels,Democrat
1858-01-01,VT,Hiland Hall,Republican
1858-01-01,VA,Henry Alexander Wise,Democrat
1858-01-01,WI,Alexander Williams Randall,Republican
1857-01-01,AL,Andrew Barry Moore,Democrat
1857-01-01,AR,Elias Nelson Conway,Democrat
1857-01-01,CA,John Neely Johnson,American (Know-Nothing)
1857-01-01,CT,Alexander Hamilton Holley,Whig
1857-01-01,DE,Peter Foster Causey,Whig
1857-01-01,FL,Madison Starke Perry,Democrat
1857-01-01,GA,Joseph Emerson Brown,Democrat
1857-01-01,IL,William Henry Bissell,"Democrat, Republican"
1857-01-01,IN,Ashbel Parsons Willard,Democrat
1857-01-01,IA,James Wilson Grimes,Whig
1857-01-01,KY,Charles Slaughter Morehead,American
1857-01-01,LA,Robert Wickliffe,Democratic
1857-01-01,ME,Joseph Hartwell Williams,Republican
1857-01-01,MD,Thomas Watkins Ligon,Democrat
1857-01-01,MA,Henry Joseph Gardner,American (Know-Nothing)
1857-01-01,MI,Kinsley Scott Bingham,Republican
1857-01-01,MS,William McWillie,Democratic
1857-01-01,MO,Robert Marcellus Stewart,Democratic
1857-01-01,NH,William Haile,Republican
1857-01-01,NJ,William Augustus Newell,Republican
1857-01-01,NY,John Alsop King,Republican
1857-01-01,NC,Thomas Bragg,Democratic
1857-01-01,OH,Salmon Portland Chase,Republican
1857-01-01,PA,James Pollock,Whig; Republican
1857-01-01,RI,Elisha Dyer,Republican
1857-01-01,SC,Robert Francis Withers Allston,Democrat
1857-01-01,TN,Isham Green Harris,Democrat
1857-01-01,TX,Hardin Richard Runnels,Democrat
1857-01-01,VT,Ryland Fletcher,Republican
1857-01-01,VA,Henry Alexander Wise,Democrat
1857-01-01,WI,Coles Bashford,Republican
1856-01-01,AL,John Anthony Winston,Democrat
1856-01-01,AR,Elias Nelson Conway,Democrat
1856-01-01,CA,John Neely Johnson,American (Know-Nothing)
1856-01-01,CT,William Thomas Minor,American
1856-01-01,DE,Peter Foster Causey,Whig
1856-01-01,FL,James Emilius Broome,Democrat
1856-01-01,GA,Herschel Vespasian Johnson,Democrat
1856-01-01,IL,Joel Aldrich Matteson,Democrat
1856-01-01,IN,Joseph Albert Wright,Democrat
1856-01-01,IA,James Wilson Grimes,Whig
1856-01-01,KY,Charles Slaughter Morehead,American
1856-01-01,LA,Robert Wickliffe,Democratic
1856-01-01,ME,Samuel Wells,Democrat
1856-01-01,MD,Thomas Watkins Ligon,Democrat
1856-01-01,MA,Henry Joseph Gardner,American (Know-Nothing)
1856-01-01,MI,Kinsley Scott Bingham,Republican
1856-01-01,MS,John Jones McRae,Democratic
1856-01-01,MO,Sterling Price,Democratic
1856-01-01,NH,Ralph Metcalf,Know-Nothing
1856-01-01,NJ,Rodman M. Price,Democratic
1856-01-01,NY,Myron Holley Clark,Republican
1856-01-01,NC,Thomas Bragg,Democratic
1856-01-01,OH,Salmon Portland Chase,Republican
1856-01-01,PA,James Pollock,Whig; Republican
1856-01-01,RI,William Warner Hoppin,AP
1856-01-01,SC,Robert Francis Withers Allston,Democrat
1856-01-01,TN,Andrew Johnson,Democrat
1856-01-01,TX,Elisha Marshall Pease,Republican
1856-01-01,VT,Ryland Fletcher,Republican
1856-01-01,VA,Henry Alexander Wise,Democrat
1856-01-01,WI,Coles Bashford,Republican
1855-01-01,AL,John Anthony Winston,Democrat
1855-01-01,AR,Elias Nelson Conway,Democrat
1855-01-01,CA,John Bigler,Democrat
1855-01-01,CT,William Thomas Minor,American
1855-01-01,DE,Peter Foster Causey,Whig
1855-01-01,FL,James Emilius Broome,Democrat
1855-01-01,GA,Herschel Vespasian Johnson,Democrat
1855-01-01,IL,Joel Aldrich Matteson,Democrat
1855-01-01,IN,Joseph Albert Wright,Democrat
1855-01-01,IA,James Wilson Grimes,Whig
1855-01-01,KY,Charles Slaughter Morehead,American
1855-01-01,LA,Paul Octave Hebert,Democratic
1855-01-01,ME,Anson Peaslee Morrill,Republican
1855-01-01,MD,Thomas Watkins Ligon,Democrat
1855-01-01,MA,Henry Joseph Gardner,American (Know-Nothing)
1855-01-01,MI,Kinsley Scott Bingham,Republican
1855-01-01,MS,John Jones McRae,Democratic
1855-01-01,MO,Sterling Price,Democratic
1855-01-01,NH,Ralph Metcalf,Know-Nothing
1855-01-01,NJ,Rodman M. Price,Democratic
1855-01-01,NY,Myron Holley Clark,Republican
1855-01-01,NC,Thomas Bragg,Democratic
1855-01-01,OH,William Medill,Democratic
1855-01-01,PA,James Pollock,Whig; Republican
1855-01-01,RI,William Warner Hoppin,AP
1855-01-01,SC,James Hopkins Adams,Democrat
1855-01-01,TN,Andrew Johnson,Democrat
1855-01-01,TX,Elisha Marshall Pease,Republican
1855-01-01,VT,Stephen Royce,Whig (first term); Republican (second term)
1855-01-01,VA,Joseph Johnson,Democrat
1855-01-01,WI,William Augustus Barstow,Democrat
1854-01-01,AL,John Anthony Winston,Democrat
1854-01-01,AR,Elias Nelson Conway,Democrat
1854-01-01,CA,John Bigler,Democrat
1854-01-01,CT,Henry Dutton,Whig
1854-01-01,DE,William Henry Harrison Ross,Democrat
1854-01-01,FL,James Emilius Broome,Democrat
1854-01-01,GA,Herschel Vespasian Johnson,Democrat
1854-01-01,IL,Joel Aldrich Matteson,Democrat
1854-01-01,IN,Joseph Albert Wright,Democrat
1854-01-01,IA,James Wilson Grimes,Whig
1854-01-01,KY,Lazarus Whitehead Powell,Democrat
1854-01-01,LA,Paul Octave Hebert,Democratic
1854-01-01,ME,William George Crosby,Whig
1854-01-01,MD,Thomas Watkins Ligon,Democrat
1854-01-01,MA,Emory Washburn,Whig
1854-01-01,MI,Andrew Parsons,Democratic
1854-01-01,MS,John Jones McRae,Democratic
1854-01-01,MO,Sterling Price,Democratic
1854-01-01,NH,Nathaniel Bradley Baker,Democratic
1854-01-01,NJ,Rodman M. Price,Democratic
1854-01-01,NY,Horatio Seymour,Democratic
1854-01-01,NC,Warren Winslow,Democratic
1854-01-01,OH,William Medill,Democratic
1854-01-01,PA,William Bigler,Democrat
1854-01-01,RI,William Warner Hoppin,AP
1854-01-01,SC,James Hopkins Adams,Democrat
1854-01-01,TN,Andrew Johnson,Democrat
1854-01-01,TX,Elisha Marshall Pease,Republican
1854-01-01,VT,Stephen Royce,Whig (first term); Republican (second term)
1854-01-01,VA,Joseph Johnson,Democrat
1854-01-01,WI,William Augustus Barstow,Democrat
1853-01-01,AL,John Anthony Winston,Democrat
1853-01-01,AR,Elias Nelson Conway,Democrat
1853-01-01,CA,John Bigler,Democrat
1853-01-01,CT,Charles Hobby Pond,Democrat
1853-01-01,DE,William Henry Harrison Ross,Democrat
1853-01-01,FL,James Emilius Broome,Democrat
1853-01-01,GA,Herschel Vespasian Johnson,Democrat
1853-01-01,IL,Joel Aldrich Matteson,Democrat
1853-01-01,IN,Joseph Albert Wright,Democrat
1853-01-01,IA,Stephen Hempstead,Democrat
1853-01-01,KY,Lazarus Whitehead Powell,Democrat
1853-01-01,LA,Paul Octave Hebert,Democratic
1853-01-01,ME,William George Crosby,Whig
1853-01-01,MD,Enoch Louis Lowe,Democrat
1853-01-01,MA,John Henry Clifford,Whig
1853-01-01,MI,Andrew Parsons,Democratic
1853-01-01,MS,Henry Stuart Foote,Union-Democratic
1853-01-01,MO,Sterling Price,Democratic
1853-01-01,NH,Noah Martin,Democratic
1853-01-01,NJ,George Franklin Fort,Democratic
1853-01-01,NY,Horatio Seymour,Democratic
1853-01-01,NC,David Settle Reid,Democratic
1853-01-01,OH,William Medill,Democratic
1853-01-01,PA,William Bigler,Democrat
1853-01-01,RI,Francis M. Dimond,NA
1853-01-01,SC,John Laurence Manning,Democrat
1853-01-01,TN,Andrew Johnson,Democrat
1853-01-01,TX,Elisha Marshall Pease,Republican
1853-01-01,VT,John Staniford Robinson,Democrat
1853-01-01,VA,Joseph Johnson,Democrat
1853-01-01,WI,Leonard James Farwell,Whig
1852-01-01,AL,Henry Watkins Collier,Democrat
1852-01-01,AR,Elias Nelson Conway,Democrat
1852-01-01,CA,John Bigler,Democrat
1852-01-01,CT,Thomas H. Seymour,Democrat
1852-01-01,DE,William Henry Harrison Ross,Democrat
1852-01-01,FL,Thomas Brown,Whig
1852-01-01,GA,Howell Cobb,Union Democrat
1852-01-01,IL,Augustus C. French,Democrat
1852-01-01,IN,Joseph Albert Wright,Democrat
1852-01-01,IA,Stephen Hempstead,Democrat
1852-01-01,KY,Lazarus Whitehead Powell,Democrat
1852-01-01,LA,Joseph Marshall Walker,Democratic
1852-01-01,ME,John Hubbard,Democrat
1852-01-01,MD,Enoch Louis Lowe,Democrat
1852-01-01,MA,George Sewall Boutwell,Democrat
1852-01-01,MI,Robert McClelland,Democratic
1852-01-01,MS,Henry Stuart Foote,Union-Democratic
1852-01-01,MO,Austin Augustus King,Democratic
1852-01-01,NH,Noah Martin,Democratic
1852-01-01,NJ,George Franklin Fort,Democratic
1852-01-01,NY,Washington Hunt,Democratic
1852-01-01,NC,David Settle Reid,Democratic
1852-01-01,OH,Reuben Wood,Democratic
1852-01-01,PA,William Bigler,Democrat
1852-01-01,RI,Phillip Allen,DFS
1852-01-01,SC,John Laurence Manning,Democrat
1852-01-01,TN,William Bowen Campbell,Whig
1852-01-01,TX,Peter Hansborough Bell,Democrat
1852-01-01,VT,Erastus Fairbanks,Whig (first term); Republican (second term)
1852-01-01,VA,Joseph Johnson,Democrat
1852-01-01,WI,Leonard James Farwell,Whig
1851-01-01,AL,Henry Watkins Collier,Democrat
1851-01-01,AR,John Selden Roane,Democrat
1851-01-01,CA,John McDougal,Independent Democrat
1851-01-01,CT,Thomas H. Seymour,Democrat
1851-01-01,DE,William Henry Harrison Ross,Democrat
1851-01-01,FL,Thomas Brown,Whig
1851-01-01,GA,Howell Cobb,Union Democrat
1851-01-01,IL,Augustus C. French,Democrat
1851-01-01,IN,Joseph Albert Wright,Democrat
1851-01-01,IA,Stephen Hempstead,Democrat
1851-01-01,KY,Lazarus Whitehead Powell,Democrat
1851-01-01,LA,Joseph Marshall Walker,Democratic
1851-01-01,ME,John Hubbard,Democrat
1851-01-01,MD,Enoch Louis Lowe,Democrat
1851-01-01,MA,George Sewall Boutwell,Democrat
1851-01-01,MI,John Stewart Barry,Democratic
1851-01-01,MS,James Whitfield,Democratic
1851-01-01,MO,Austin Augustus King,Democratic
1851-01-01,NH,Samuel Dinsmoor,Democratic
1851-01-01,NJ,George Franklin Fort,Democratic
1851-01-01,NY,Washington Hunt,Democratic
1851-01-01,NC,David Settle Reid,Democratic
1851-01-01,OH,Reuben Wood,Democratic
1851-01-01,PA,William Freame Johnston,Whig
1851-01-01,RI,Phillip Allen,DFS
1851-01-01,SC,John Hugh Means,Democrat
1851-01-01,TN,William Bowen Campbell,Whig
1851-01-01,TX,Peter Hansborough Bell,Democrat
1851-01-01,VT,Charles Kilborn Williams,Whig
1851-01-01,VA,John Buchanan Floyd,Democrat
1851-01-01,WI,Nelson Dewey,Democrat
1850-01-01,AL,Henry Watkins Collier,Democrat
1850-01-01,AR,John Selden Roane,Democrat
1850-01-01,CA,Peter Hardeman Burnett,Independent Democrat
1850-01-01,CT,Thomas H. Seymour,Democrat
1850-01-01,DE,William Tharp,Democrat
1850-01-01,FL,Thomas Brown,Whig
1850-01-01,GA,George Washington Towns,Democrat
1850-01-01,IL,Augustus C. French,Democrat
1850-01-01,IN,Joseph Albert Wright,Democrat
1850-01-01,IA,Stephen Hempstead,Democrat
1850-01-01,KY,John Larue Helm,Whig
1850-01-01,LA,Joseph Marshall Walker,Democratic
1850-01-01,ME,John Hubbard,Democrat
1850-01-01,MD,Phillip Francis Thomas,Democrat
1850-01-01,MA,George Nixon Briggs,Whig
1850-01-01,MI,John Stewart Barry,Democratic
1850-01-01,MS,John Anthony Quitman,Democratic
1850-01-01,MO,Austin Augustus King,Democratic
1850-01-01,NH,Samuel Dinsmoor,Democratic
1850-01-01,NJ,Daniel Haines,Democratic
1850-01-01,NY,Hamilton Fish,Whig
1850-01-01,NC,Charles Manly,Whig
1850-01-01,OH,Reuben Wood,Democratic
1850-01-01,PA,William Freame Johnston,Whig
1850-01-01,RI,Henry Bowen Anthony,Whig
1850-01-01,SC,John Hugh Means,Democrat
1850-01-01,TN,William Trousdale,Democrat
1850-01-01,TX,Peter Hansborough Bell,Democrat
1850-01-01,VT,Charles Kilborn Williams,Whig
1850-01-01,VA,John Buchanan Floyd,Democrat
1850-01-01,WI,Nelson Dewey,Democrat
1849-01-01,AL,Henry Watkins Collier,Democrat
1849-01-01,AR,John Selden Roane,Democrat
1849-01-01,CA,Peter Hardeman Burnett,Independent Democrat
1849-01-01,CT,Joseph Trumbull,Whig
1849-01-01,DE,William Tharp,Democrat
1849-01-01,FL,Thomas Brown,Whig
1849-01-01,GA,George Washington Towns,Democrat
1849-01-01,IL,Augustus C. French,Democrat
1849-01-01,IN,Joseph Albert Wright,Democrat
1849-01-01,IA,Ansel Briggs,Democrat
1849-01-01,KY,John Jordan Crittenden,Whig
1849-01-01,LA,Isaac Johnson,Democratic
1849-01-01,ME,John Winchester Dana,Democrat
1849-01-01,MD,Phillip Francis Thomas,Democrat
1849-01-01,MA,George Nixon Briggs,Whig
1849-01-01,MI,Epaphroditus Ransom,Democratic
1849-01-01,MS,Joseph W. Matthews,Democratic
1849-01-01,MO,Austin Augustus King,Democratic
1849-01-01,NH,Samuel Dinsmoor,Democratic
1849-01-01,NJ,Daniel Haines,Democratic
1849-01-01,NY,Hamilton Fish,Whig
1849-01-01,NC,Charles Manly,Whig
1849-01-01,OH,Seabury Ford,Whig
1849-01-01,PA,William Freame Johnston,Whig
1849-01-01,RI,Henry Bowen Anthony,Whig
1849-01-01,SC,Whitemarsh Benjamin Seabrook,Democrat
1849-01-01,TN,William Trousdale,Democrat
1849-01-01,TX,Peter Hansborough Bell,Democrat
1849-01-01,VT,Carlos Coolidge,Whig
1849-01-01,VA,John Buchanan Floyd,Democrat
1849-01-01,WI,Nelson Dewey,Democrat
1848-01-01,AL,Reuben Chapman,Democrat
1848-01-01,AR,Thomas Stevenson Drew,Democrat
1848-01-01,CT,Clark Bissell,Whig
1848-01-01,DE,William Tharp,Democrat
1848-01-01,FL,William Dunn Moseley,Democrat
1848-01-01,GA,George Washington Towns,Democrat
1848-01-01,IL,Augustus C. French,Democrat
1848-01-01,IN,Paris Chipman Dunning,Democrat
1848-01-01,IA,Ansel Briggs,Democrat
1848-01-01,KY,John Jordan Crittenden,Whig
1848-01-01,LA,Isaac Johnson,Democratic
1848-01-01,ME,John Winchester Dana,Democrat
1848-01-01,MD,Phillip Francis Thomas,Democrat
1848-01-01,MA,George Nixon Briggs,Whig
1848-01-01,MI,Epaphroditus Ransom,Democratic
1848-01-01,MS,Joseph W. Matthews,Democratic
1848-01-01,MO,Austin Augustus King,Democratic
1848-01-01,NH,Jared Warner Williams,Democratic
1848-01-01,NJ,Daniel Haines,Democratic
1848-01-01,NY,John Young,Whig
1848-01-01,NC,William Alexander Graham,Whig
1848-01-01,OH,William Bebb,Whig
1848-01-01,PA,William Freame Johnston,Whig
1848-01-01,RI,Elisha Harris,Whig
1848-01-01,SC,Whitemarsh Benjamin Seabrook,Democrat
1848-01-01,TN,Neill Smith Brown,Whig; Know-Nothing
1848-01-01,TX,George T. Wood,Democrat
1848-01-01,VT,Carlos Coolidge,Whig
1848-01-01,VA,John Buchanan Floyd,Democrat
1848-01-01,WI,Nelson Dewey,Democrat
1847-01-01,AL,Reuben Chapman,Democrat
1847-01-01,AR,Thomas Stevenson Drew,Democrat
1847-01-01,CT,Clark Bissell,Whig
1847-01-01,DE,William Tharp,Democrat
1847-01-01,FL,William Dunn Moseley,Democrat
1847-01-01,GA,George Washington Towns,Democrat
1847-01-01,IL,Augustus C. French,Democrat
1847-01-01,IN,James Whitcomb,Democrat
1847-01-01,IA,Ansel Briggs,Democrat
1847-01-01,KY,William Owsley,Whig
1847-01-01,LA,Isaac Johnson,Democratic
1847-01-01,ME,John Winchester Dana,Democrat
1847-01-01,MD,Thomas George Pratt,Whig; Democrat
1847-01-01,MA,George Nixon Briggs,Whig
1847-01-01,MI,William L. Greenly,Democratic
1847-01-01,MS,Albert Gallatin Brown,Democratic
1847-01-01,MO,John Cummins Edwards,Democratic
1847-01-01,NH,Jared Warner Williams,Democratic
1847-01-01,NJ,Charles Creighton Stratton,Whig
1847-01-01,NY,John Young,Whig
1847-01-01,NC,William Alexander Graham,Whig
1847-01-01,OH,William Bebb,Whig
1847-01-01,PA,Francis Rawn Shunk,Jacksonian Democrat
1847-01-01,RI,Elisha Harris,Whig
1847-01-01,SC,David Johnson,Democrat
1847-01-01,TN,Neill Smith Brown,Whig; Know-Nothing
1847-01-01,TX,George T. Wood,Democrat
1847-01-01,VT,Horace Eaton,Whig
1847-01-01,VA,William Smith,Democrat
1846-01-01,AL,Joshua Lanier Martin,Independent
1846-01-01,AR,Thomas Stevenson Drew,Democrat
1846-01-01,CT,Isaac Toucey,Democrat
1846-01-01,DE,William Temple,Whig
1846-01-01,FL,William Dunn Moseley,Democrat
1846-01-01,GA,George Walker Crawford,Whig
1846-01-01,IL,Augustus C. French,Democrat
1846-01-01,IN,James Whitcomb,Democrat
1846-01-01,IA,Ansel Briggs,Democrat
1846-01-01,KY,William Owsley,Whig
1846-01-01,LA,Isaac Johnson,Democratic
1846-01-01,ME,Hugh Johnson Anderson,Democrat
1846-01-01,MD,Thomas George Pratt,Whig; Democrat
1846-01-01,MA,George Nixon Briggs,Whig
1846-01-01,MI,Alpheus Felch,Democratic
1846-01-01,MS,Albert Gallatin Brown,Democratic
1846-01-01,MO,John Cummins Edwards,Democratic
1846-01-01,NH,Anthony Colby,Whig
1846-01-01,NJ,Charles Creighton Stratton,Whig
1846-01-01,NY,Silas Wright,Democratic
1846-01-01,NC,William Alexander Graham,Whig
1846-01-01,OH,William Bebb,Whig
1846-01-01,PA,Francis Rawn Shunk,Jacksonian Democrat
1846-01-01,RI,Byron Diman,Whig
1846-01-01,SC,David Johnson,Democrat
1846-01-01,TN,Aaron Venable Brown,Democrat
1846-01-01,TX,James Pinckney Henderson,Democrat
1846-01-01,VT,Horace Eaton,Whig
1846-01-01,VA,William Smith,Democrat
1845-01-01,AL,Joshua Lanier Martin,Independent
1845-01-01,AR,Thomas Stevenson Drew,Democrat
1845-01-01,CT,Roger Sherman Baldwin,Whig
1845-01-01,DE,Thomas Stockton,Whig
1845-01-01,FL,William Dunn Moseley,Democrat
1845-01-01,GA,George Walker Crawford,Whig
1845-01-01,IL,Thomas Ford,Democrat
1845-01-01,IN,James Whitcomb,Democrat
1845-01-01,KY,William Owsley,Whig
1845-01-01,LA,Alexandre Mouton,Democratic
1845-01-01,ME,Hugh Johnson Anderson,Democrat
1845-01-01,MD,Thomas George Pratt,Whig; Democrat
1845-01-01,MA,George Nixon Briggs,Whig
1845-01-01,MI,John Stewart Barry,Democratic
1845-01-01,MS,Albert Gallatin Brown,Democratic
1845-01-01,MO,John Cummins Edwards,Democratic
1845-01-01,NH,John Hardy Steele,Democratic
1845-01-01,NJ,Charles Creighton Stratton,Whig
1845-01-01,NY,Silas Wright,Democratic
1845-01-01,NC,William Alexander Graham,Whig
1845-01-01,OH,Mordecai Bartley,Whig
1845-01-01,PA,Francis Rawn Shunk,Jacksonian Democrat
1845-01-01,RI,Charles Jackson,Whig
1845-01-01,SC,William Aiken,Democrat
1845-01-01,TN,Aaron Venable Brown,Democrat
1845-01-01,VT,William Slade,Whig
1845-01-01,VA,James McDowell,Democrat
1844-01-01,AL,Benjamin Fitzpatrick,Democrat
1844-01-01,AR,Thomas Stevenson Drew,Democrat
1844-01-01,CT,Roger Sherman Baldwin,Whig
1844-01-01,DE,William Barkley Cooper,Whig
1844-01-01,GA,George Walker Crawford,Whig
1844-01-01,IL,Thomas Ford,Democrat
1844-01-01,IN,James Whitcomb,Democrat
1844-01-01,KY,William Owsley,Whig
1844-01-01,LA,Alexandre Mouton,Democratic
1844-01-01,ME,Hugh Johnson Anderson,Democrat
1844-01-01,MD,Francis Thomas,Democrat; Unionist; Republican
1844-01-01,MA,George Nixon Briggs,Whig
1844-01-01,MI,John Stewart Barry,Democratic
1844-01-01,MS,Albert Gallatin Brown,Democratic
1844-01-01,MO,John Cummins Edwards,Democratic
1844-01-01,NH,John Hardy Steele,Democratic
1844-01-01,NJ,Daniel Haines,Democratic
1844-01-01,NY,William C. Bouck,Democratic
1844-01-01,NC,John Motley Morehead,Whig
1844-01-01,OH,Mordecai Bartley,Whig
1844-01-01,PA,David Rittenhouse Porter,Democratic-Republican (Jacksonian Democrat)
1844-01-01,RI,James Fenner,F-R; Whig
1844-01-01,SC,William Aiken,Democrat
1844-01-01,TN,James Chamberlain Jones,Whig
1844-01-01,VT,William Slade,Whig
1844-01-01,VA,James McDowell,Democrat
1843-01-01,AL,Benjamin Fitzpatrick,Democrat
1843-01-01,AR,Archibald Yell,Democrat
1843-01-01,CT,Chauncey Fitch Cleveland,Democrat
1843-01-01,DE,William Barkley Cooper,Whig
1843-01-01,GA,George Walker Crawford,Whig
1843-01-01,IL,Thomas Ford,Democrat
1843-01-01,IN,James Whitcomb,Democrat
1843-01-01,KY,Robert Perkins Letcher,Whig
1843-01-01,LA,Alexandre Mouton,Democratic
1843-01-01,ME,Edward Kavanagh,Democrat
1843-01-01,MD,Francis Thomas,Democrat; Unionist; Republican
1843-01-01,MA,Marcus Morton,Democratic-Republican
1843-01-01,MI,John Stewart Barry,Democratic
1843-01-01,MS,Tilghman Mayfield Tucker,Democratic
1843-01-01,MO,Thomas Reynolds,Democratic
1843-01-01,NH,Henry Hubbard,Democratic
1843-01-01,NJ,Daniel Haines,Democratic
1843-01-01,NY,William C. Bouck,Democratic
1843-01-01,NC,John Motley Morehead,Whig
1843-01-01,OH,Wilson Shannon,Democratic
1843-01-01,PA,David Rittenhouse Porter,Democratic-Republican (Jacksonian Democrat)
1843-01-01,RI,James Fenner,F-R; Whig
1843-01-01,SC,James Henry Hammond,Democrat
1843-01-01,TN,James Chamberlain Jones,Whig
1843-01-01,VT,John Mattocks,Whig
1843-01-01,VA,James McDowell,Democrat
1842-01-01,AL,Benjamin Fitzpatrick,Democrat
1842-01-01,AR,Archibald Yell,Democrat
1842-01-01,CT,Chauncey Fitch Cleveland,Democrat
1842-01-01,DE,William Barkley Cooper,Whig
1842-01-01,GA,Charles James McDonald,"Democrat (Union, then states' rights)"
1842-01-01,IL,Thomas Ford,Democrat
1842-01-01,IN,Samuel Bigger,Whig
1842-01-01,KY,Robert Perkins Letcher,Whig
1842-01-01,LA,Andre Bienvenu Roman,Whig
1842-01-01,ME,John Fairfield,Democrat
1842-01-01,MD,Francis Thomas,Democrat; Unionist; Republican
1842-01-01,MA,John Davis,"Republican, Whig"
1842-01-01,MI,John Stewart Barry,Democratic
1842-01-01,MS,Tilghman Mayfield Tucker,Democratic
1842-01-01,MO,Thomas Reynolds,Democratic
1842-01-01,NH,Henry Hubbard,Democratic
1842-01-01,NY,William Henry Seward,Whig
1842-01-01,NC,John Motley Morehead,Whig
1842-01-01,OH,Wilson Shannon,Democratic
1842-01-01,PA,David Rittenhouse Porter,Democratic-Republican (Jacksonian Democrat)
1842-01-01,RI,Samuel King,Whig
1842-01-01,SC,James Henry Hammond,Democrat
1842-01-01,TN,James Chamberlain Jones,Whig
1842-01-01,VT,Charles Paine,Whig
1842-01-01,VA,John Munford Gregory,Whig
1841-01-01,AL,Benjamin Fitzpatrick,Democrat
1841-01-01,AR,Archibald Yell,Democrat
1841-01-01,CT,William Wolcott Ellsworth,Whig
1841-01-01,DE,William Barkley Cooper,Whig
1841-01-01,GA,Charles James McDonald,"Democrat (Union, then states' rights)"
1841-01-01,IL,Thomas Carlin,Democrat
1841-01-01,IN,Samuel Bigger,Whig
1841-01-01,KY,Robert Perkins Letcher,Whig
1841-01-01,LA,Andre Bienvenu Roman,Whig
1841-01-01,ME,Edward Kent,Whig
1841-01-01,MD,William Grason,Federalist; anti-Jackson Democrat by 1828
1841-01-01,MA,John Davis,"Republican, Whig"
1841-01-01,MI,James Wright Gordon,Whig
1841-01-01,MS,Alexander Gallatin Mcnutt,Democratic
1841-01-01,MO,Thomas Reynolds,Democratic
1841-01-01,NH,John Page,Democratic
1841-01-01,NY,William Henry Seward,Whig
1841-01-01,NC,John Motley Morehead,Whig
1841-01-01,OH,Thomas Corwin,Whig
1841-01-01,PA,David Rittenhouse Porter,Democratic-Republican (Jacksonian Democrat)
1841-01-01,RI,Samuel King,Whig
1841-01-01,SC,John Peter Richardson II,Democrat
1841-01-01,TN,James Chamberlain Jones,Whig
1841-01-01,VT,Charles Paine,Whig
1841-01-01,VA,John Rutherfoord,Democrat
1840-01-01,AL,Arthur Pendleton Bagby,Democrat
1840-01-01,AR,Archibald Yell,Democrat
1840-01-01,CT,William Wolcott Ellsworth,Whig
1840-01-01,DE,Cornelius Parsons Comegys,Whig
1840-01-01,GA,Charles James McDonald,"Democrat (Union, then states' rights)"
1840-01-01,IL,Thomas Carlin,Democrat
1840-01-01,IN,Samuel Bigger,Whig
1840-01-01,KY,Robert Perkins Letcher,Whig
1840-01-01,LA,Andre Bienvenu Roman,Whig
1840-01-01,ME,John Fairfield,Democrat
1840-01-01,MD,William Grason,Federalist; anti-Jackson Democrat by 1828
1840-01-01,MA,Marcus Morton,Democratic-Republican
1840-01-01,MI,William Woodbridge,Whig
1840-01-01,MS,Alexander Gallatin Mcnutt,Democratic
1840-01-01,MO,Thomas Reynolds,Democratic
1840-01-01,NH,John Page,Democratic
1840-01-01,NY,William Henry Seward,Whig
1840-01-01,NC,Edward Bishop Dudley,Whig
1840-01-01,OH,Thomas Corwin,Whig
1840-01-01,PA,David Rittenhouse Porter,Democratic-Republican (Jacksonian Democrat)
1840-01-01,RI,Samuel King,Whig
1840-01-01,SC,John Peter Richardson II,Democrat
1840-01-01,TN,James Knox Polk,Democrat
1840-01-01,VT,Silas H. Jension,Whig
1840-01-01,VA,Thomas Walker Gilmer,Whig
1839-01-01,AL,Arthur Pendleton Bagby,Democrat
1839-01-01,AR,James Sevier Conway,Democrat
1839-01-01,CT,William Wolcott Ellsworth,Whig
1839-01-01,DE,Cornelius Parsons Comegys,Whig
1839-01-01,GA,Charles James McDonald,"Democrat (Union, then states' rights)"
1839-01-01,IL,Thomas Carlin,Democrat
1839-01-01,IN,David Wallace,Whig
1839-01-01,KY,Charles Anderson Wickliffe,Whig
1839-01-01,LA,Andre Bienvenu Roman,Whig
1839-01-01,ME,John Fairfield,Democrat
1839-01-01,MD,William Grason,Federalist; anti-Jackson Democrat by 1828
1839-01-01,MA,Edward Everett,Whig
1839-01-01,MI,Stevens Thomson Mason,Democratic
1839-01-01,MS,Alexander Gallatin Mcnutt,Democratic
1839-01-01,MO,Lilburn W. Boggs,Democratic
1839-01-01,NH,John Page,Democratic
1839-01-01,NY,William Henry Seward,Whig
1839-01-01,NC,Edward Bishop Dudley,Whig
1839-01-01,OH,Wilson Shannon,Democratic
1839-01-01,PA,David Rittenhouse Porter,Democratic-Republican (Jacksonian Democrat)
1839-01-01,RI,Samuel King,Whig
1839-01-01,SC,Patrick Noble,Democrat
1839-01-01,TN,James Knox Polk,Democrat
1839-01-01,VT,Silas H. Jension,Whig
1839-01-01,VA,David Campbell,Democrat
1838-01-01,AL,Arthur Pendleton Bagby,Democrat
1838-01-01,AR,James Sevier Conway,Democrat
1838-01-01,CT,William Wolcott Ellsworth,Whig
1838-01-01,DE,Cornelius Parsons Comegys,Whig
