year,state,governor,party
2010-01-01,WA,Chris Gregoire,Democrat
2010-01-01,WV,Earl Ray Tomblin,Democrat
2010-01-01,WI,Jim Doyle,Democrat
2010-01-01,WY,Dave Freudenthal,Democrat
2009-01-01,AL,Bob Riley,Republican
2009-01-01,AK,Sean Parnell,Republican
2009-01-01,AZ,Jan Brewer,Republican
2009-01-01,AR,Mike Beebe,Democrat
2009-01-01,CA,Arnold Schwarzenegger,Republican
2009-01-01,CO,Bill Ritter,Democrat
2009-01-01,CT,M. Jodi Rell,Republican
2009-01-01,DE,Jack Markell,Democrat
2009-01-01,FL,Charlie Crist,Republican
2009-01-01,GA,Sonny Perdue,Republican
2009-01-01,HI,Linda Lingle,Republican
2009-01-01,ID,"C. L. ""Butch"" Otter",Republican
2009-01-01,IL,Pat Quinn,Democrat
2009-01-01,IN,Mitch Daniels,Republican
2009-01-01,IA,Chet Culver,Democrat
2009-01-01,KS,Mark Parkinson,Democrat
2009-01-01,KY,Steven L. Beshear,Democrat
2009-01-01,LA,Bobby Jindal,Republican
2009-01-01,ME,John E. Baldacci,Democrat
2009-01-01,MD,Martin O'Malley,Democrat
2009-01-01,MA,Deval Patrick,Democrat
2009-01-01,MI,Jennifer M. Granholm,Democrat
2009-01-01,MN,Tim Pawlenty,Republican
2009-01-01,MS,Haley Barbour,Republican
2009-01-01,MO,Jeremiah W. (Jay) Nixon,Democrat
2009-01-01,MT,Brian Schweitzer,Democrat
2009-01-01,NE,Dave Heineman,Republican
2009-01-01,NV,Jim Gibbons,Republican
2009-01-01,NH,John Lynch,Democrat
2009-01-01,NJ,Jon Corzine,Democrat
2009-01-01,NM,Bill Richardson,Democrat
2009-01-01,NY,David A. Paterson,Democrat
2009-01-01,NC,Bev Perdue,Democrat
2009-01-01,ND,John Hoeven,Republican
2009-01-01,OH,Ted Strickland,Democrat
2009-01-01,OK,Brad Henry,Democrat
2009-01-01,OR,Ted Kulongoski,Democrat
2009-01-01,PA,Edward G. Rendell,Democrat
2009-01-01,RI,Don Carcieri,Republican
2009-01-01,SC,Mark Sanford,Republican
2009-01-01,SD,Mike Rounds,Republican
2009-01-01,TN,Phil Bredesen,Democrat
2009-01-01,TX,Rick Perry,Republican
